Player,Team,Att,Cmp,Pct,Yds,YPA,TD,TD%,Int,Int%,Lg,Sack,Loss,Rate,"Stat Type"
"Cody Green",TULS,419,228,54.4,"2,592",6.2,17,4.1,11,2.6,--,--,--,114.5,Passing
"Matt Schilz",BGSU,413,228,55.2,"2,585",6.3,14,3.4,12,2.9,--,--,--,113.2,Passing
"Logan Kilgore",MTSU,335,212,63.3,"2,571",7.7,16,4.8,6,1.8,--,--,--,139.9,Passing
"Nick Sherry",UNLV,426,226,53.1,"2,544",6.0,16,3.8,17,4.0,--,--,--,107.6,Passing
"Jordan Rodgers",VAN,319,191,59.9,"2,539",8.0,15,4.7,5,1.6,--,--,--,139.1,Passing
"Kawaun Jakes",WKU,312,200,64.1,"2,488",8.0,22,7.1,11,3.5,--,--,--,147.3,Passing
"Sean Mannion",ORST,309,200,64.7,"2,446",7.9,15,4.9,13,4.2,--,--,--,138.8,Passing
"Everett Golson",ND,318,187,58.8,"2,405",7.6,12,3.8,6,1.9,--,--,--,131.0,Passing
"Tanner Price",WF,410,228,55.6,"2,300",5.6,12,2.9,7,1.7,--,--,--,109.0,Passing
"James Vandenberg",IOWA,389,223,57.3,"2,249",5.8,7,1.8,8,2.1,--,--,--,107.7,Passing
"Zach Maynard",CAL,296,180,60.8,"2,214",7.5,12,4.1,10,3.4,--,--,--,130.3,Passing
"Taylor McHargue",RICE,325,194,59.7,"2,209",6.8,12,3.7,5,1.5,--,--,--,125.9,Passing
"Ross Metheny",USA,345,189,54.8,"2,148",6.2,12,3.5,12,3.5,--,--,--,111.6,Passing
"Shaun Rutherford",TXST,299,193,64.5,"2,137",7.1,15,5.0,5,1.7,--,--,--,137.8,Passing
"Jake Medlock",FIU,263,152,57.8,"2,127",8.1,13,4.9,2,0.8,--,--,--,140.5,Passing
"Jeff Tuel",WSU,332,211,63.6,"2,087",6.3,8,2.4,8,2.4,--,--,--,119.5,Passing
"Eric Soza",UTSA,282,166,58.9,"2,085",7.4,20,7.1,3,1.1,--,--,--,142.2,Passing
"B.J. Daniels",USF,290,165,56.9,"2,075",7.2,14,4.8,10,3.4,--,--,--,126.0,Passing
"Trevone Boykin",TCU,292,167,57.2,"2,054",7.0,15,5.1,10,3.4,--,--,--,126.4,Passing
"Braxton Miller",OSU,254,148,58.3,"2,039",8.0,15,5.9,6,2.4,--,--,--,140.5,Passing
"Spencer Keith",KENT,333,183,55.0,"2,021",6.1,12,3.6,10,3.0,--,--,--,111.8,Passing
"Riley Nelson",BYU,308,181,58.8,"2,011",6.5,13,4.2,13,4.2,--,--,--,119.1,Passing
"Connor Shaw",SCAR,228,154,67.5,"1,956",8.6,17,7.5,7,3.1,--,--,--,158.1,Passing
"Michael Rocco",UVA,266,161,60.5,"1,917",7.2,13,4.9,10,3.8,--,--,--,129.7,Passing
"Jacob Karam",MEM,274,176,64.2,"1,895",6.9,14,5.1,3,1.1,--,--,--,137.0,Passing
"Connor Halliday",WSU,291,152,52.2,"1,878",6.5,15,5.2,13,4.5,--,--,--,114.5,Passing
"Sean Schroeder",HAW,344,175,50.9,"1,878",5.5,11,3.2,12,3.5,--,--,--,100.3,Passing
"Tyler Van Tubbergen",WMU,261,159,60.9,"1,825",7.0,15,5.7,11,4.2,--,--,--,130.2,Passing
"Mike Wegzyn",MASS,346,182,52.6,"1,825",5.3,6,1.7,10,2.9,--,--,--,96.8,Passing
"Robert Marve",PUR,253,166,65.6,"1,734",6.9,15,5.9,5,2.0,--,--,--,138.8,Passing
"Munchie Legaux",CINN,230,120,52.2,"1,716",7.5,13,5.7,9,3.9,--,--,--,125.7,Passing
"Nick Lamaison",UTEP,252,126,50.0,"1,686",6.7,12,4.8,9,3.6,--,--,--,114.8,Passing
"Alex Carder",WMU,248,145,58.5,"1,652",6.7,13,5.2,10,4.0,--,--,--,123.7,Passing
"Jeff Driskel",FLA,245,156,63.7,"1,646",6.7,12,4.9,5,2.0,--,--,--,132.2,Passing
"Josh Nunes",STAN,235,124,52.8,"1,643",7.0,10,4.3,7,3.0,--,--,--,119.6,Passing
