Player,Team,Att,Cmp,Pct,Yds,YPA,TD,TD%,Int,Int%,Lg,Sack,Loss,Rate,"Stat Type"
"Nick Florence",BAY,464,286,61.6,"4,309",9.3,33,7.1,13,2.8,--,--,--,157.5,Passing
"Landry Jones",OKLA,555,367,66.1,"4,267",7.7,30,5.4,11,2.0,--,--,--,144.6,Passing
"Seth Doege",TTU,541,380,70.2,"4,205",7.8,39,7.2,16,3.0,--,--,--,153.4,Passing
"Geno Smith",WVU,518,369,71.2,"4,205",8.1,42,8.1,6,1.2,--,--,--,163.9,Passing
"Rakeem Cato",MRSH,584,406,69.5,"4,201",7.2,37,6.3,11,1.9,--,--,--,147.1,Passing
"David Fales",SJSU,451,327,72.5,"4,193",9.3,33,7.3,9,2.0,--,--,--,170.8,Passing
"Colby Cameron",LT,522,359,68.8,"4,147",7.9,31,5.9,5,1.0,--,--,--,153.2,Passing
"Derek Carr",FRES,511,344,67.3,"4,104",8.0,37,7.2,7,1.4,--,--,--,155.9,Passing
"Mike Glennon",NCST,564,330,58.5,"4,031",7.1,31,5.5,17,3.0,--,--,--,130.7,Passing
"Tajh Boyd",CLEM,427,287,67.2,"3,896",9.1,36,8.4,13,3.0,--,--,--,165.6,Passing
"Aaron Murray",UGA,386,249,64.5,"3,893",10.1,36,9.3,10,2.6,--,--,--,174.8,Passing
"Ryan Nassib",SYR,471,294,62.4,"3,749",8.0,26,5.5,10,2.1,--,--,--,143.3,Passing
"Brett Hundley",UCLA,478,318,66.5,"3,740",7.8,29,6.1,11,2.3,--,--,--,147.7,Passing
"Teddy Bridgewater",LOU,419,287,68.5,"3,718",8.9,27,6.4,8,1.9,--,--,--,160.5,Passing
"Johnny Manziel",TAMU,434,295,68.0,"3,706",8.5,26,6.0,9,2.1,--,--,--,155.3,Passing
"Matt Scott",ARIZ,499,301,60.3,"3,620",7.3,27,5.4,14,2.8,--,--,--,133.5,Passing
"Tyler Bray",TENN,451,268,59.4,"3,612",8.0,34,7.5,12,2.7,--,--,--,146.3,Passing
"Zac Dysert",MIOH,480,302,62.9,"3,483",7.3,25,5.2,12,2.5,--,--,--,136.1,Passing
"E.J. Manuel",FSU,387,263,68.0,"3,397",8.8,23,5.9,10,2.6,--,--,--,156.1,Passing
"Dalton Williams",AKR,522,326,62.5,"3,387",6.5,25,4.8,16,3.1,--,--,--,126.6,Passing
"Tyler Wilson",ARK,401,249,62.1,"3,387",8.4,21,5.2,13,3.2,--,--,--,143.8,Passing
"Chuckie Keeton",USU,407,275,67.6,"3,373",8.3,27,6.6,9,2.2,--,--,--,154.7,Passing
"Bryn Renner",UNC,422,276,65.4,"3,356",8.0,28,6.6,7,1.7,--,--,--,150.8,Passing
"Stephen Morris",MIA,421,245,58.2,"3,345",7.9,21,5.0,7,1.7,--,--,--,138.1,Passing
"Ryan Aplin",ARST,406,276,68.0,"3,342",8.2,24,5.9,4,1.0,--,--,--,154.7,Passing
"Tino Sunseri",PITT,393,256,65.1,"3,288",8.4,21,5.3,3,0.8,--,--,--,151.5,Passing
"Matt Barkley",USC,387,246,63.6,"3,273",8.5,36,9.3,15,3.9,--,--,--,157.6,Passing
"Matt McGloin",PSU,446,270,60.5,"3,271",7.3,24,5.4,5,1.1,--,--,--,137.7,Passing
"Ryan Radcliff",CMU,407,242,59.5,"3,163",7.8,23,5.7,9,2.2,--,--,--,139.0,Passing
"Jordan Lynch",NIU,394,237,60.2,"3,138",8.0,25,6.3,6,1.5,--,--,--,144.9,Passing
"Corey Robinson",TROY,389,257,66.1,"3,121",8.0,12,3.1,9,2.3,--,--,--,139.0,Passing
"Shane Carden",ECU,413,273,66.1,"3,116",7.5,23,5.6,10,2.4,--,--,--,143.0,Passing
"Sean Renfree",DUKE,441,297,67.3,"3,113",7.1,19,4.3,10,2.3,--,--,--,136.3,Passing
"Keith Wenning",BALL,460,301,65.4,"3,095",6.7,24,5.2,10,2.2,--,--,--,134.8,Passing
"Chase Rettig",BC,467,253,54.2,"3,060",6.6,17,3.6,13,2.8,--,--,--,115.7,Passing
"Blake Bortles",UCF,399,251,62.9,"3,059",7.7,25,6.3,7,1.8,--,--,--,144.5,Passing
"Kolton Browning",ULM,428,273,63.8,"3,049",7.1,29,6.8,10,2.3,--,--,--,141.3,Passing
"Taylor Kelly",AZST,359,241,67.1,"3,039",8.5,29,8.1,9,2.5,--,--,--,159.9,Passing
"Bo Wallace",MISS,368,235,63.9,"2,994",8.1,22,6.0,17,4.6,--,--,--,142.7,Passing
"Logan Thomas",VT,429,220,51.3,"2,976",6.9,18,4.2,16,3.7,--,--,--,115.9,Passing
"A.J. McCarron",ALA,314,211,67.2,"2,933",9.3,30,9.6,3,1.0,--,--,--,175.3,Passing
"Garrett Gilbert",SMU,506,268,53.0,"2,932",5.8,15,3.0,15,3.0,--,--,--,105.5,Passing
"David Piland",HOU,448,256,57.1,"2,929",6.5,16,3.6,12,2.7,--,--,--,118.5,Passing
"Tyler Russell",MSST,394,231,58.6,"2,897",7.4,24,6.1,10,2.5,--,--,--,135.4,Passing
"Taylor Martinez",NEB,368,228,62.0,"2,871",7.8,23,6.2,12,3.3,--,--,--,141.6,Passing
"Terrance Broadway",ULL,315,206,65.4,"2,847",9.0,17,5.4,9,2.9,--,--,--,153.4,Passing
"Tyler Tettleton",OHIO,367,228,62.1,"2,844",7.7,18,4.9,4,1.1,--,--,--,141.2,Passing
"Brett Smith",WYO,330,205,62.1,"2,837",8.6,27,8.2,6,1.8,--,--,--,157.7,Passing
"Graham Wilbert",FAU,405,261,64.4,"2,814",6.9,18,4.4,6,1.5,--,--,--,134.5,Passing
"Cody Fajardo",NEV,367,246,67.0,"2,786",7.6,20,5.4,9,2.5,--,--,--,143.9,Passing
"Ryan Griffin",TULN,394,245,62.2,"2,771",7.0,20,5.1,11,2.8,--,--,--,132.4,Passing
"Andrew Manley",NMST,384,207,53.9,"2,764",7.2,18,4.7,11,2.9,--,--,--,124.1,Passing
"Cameron Coffman",IND,407,247,60.7,"2,734",6.7,15,3.7,11,2.7,--,--,--,123.9,Passing
"Joe Southwick",BSU,371,248,66.8,"2,730",7.4,19,5.1,7,1.9,--,--,--,141.8,Passing
"Keith Price",WASH,432,263,60.9,"2,728",6.3,19,4.4,13,3.0,--,--,--,122.4,Passing
"Terrance Owens",TOL,350,215,61.4,"2,707",7.7,14,4.0,8,2.3,--,--,--,135.0,Passing
"David Ash",TEX,318,214,67.3,"2,699",8.5,19,6.0,8,2.5,--,--,--,153.3,Passing
"Gary Nova",RUT,388,221,57.0,"2,695",6.9,22,5.7,16,4.1,--,--,--,125.8,Passing
"Marcus Mariota",ORE,336,230,68.5,"2,677",8.0,32,9.5,6,1.8,--,--,--,163.2,Passing
"Austin Brown",UAB,355,205,57.7,"2,673",7.5,15,4.2,12,3.4,--,--,--,128.2,Passing
"Chandler Whitmer",CONN,361,208,57.6,"2,664",7.4,9,2.5,16,4.4,--,--,--,119.0,Passing
"Collin Klein",KSST,304,197,64.8,"2,641",8.7,16,5.3,9,3.0,--,--,--,149.2,Passing
"Derek Thompson",UNT,372,214,57.5,"2,629",7.1,14,3.8,14,3.8,--,--,--,121.8,Passing
"Zach Mettenberger",LSU,352,207,58.8,"2,609",7.4,12,3.4,7,2.0,--,--,--,128.3,Passing
"Andrew Maxwell",MSU,446,234,52.5,"2,606",5.8,13,2.9,9,2.0,--,--,--,107.1,Passing
