Player,Team,Att,Cmp,Pct,Yds,YPA,TD,TD%,Int,Int%,Lg,Sack,Loss,Rate,"Stat Type"
"Ryan Aplin",ARST,408,250,61.3,"2,934",7.2,21,5.1,11,2.7,--,--,--,133.3,Passing
"Zach Collaros",CINN,383,225,58.7,"2,902",7.6,26,6.8,14,3.7,--,--,--,137.5,Passing
"Darron Thomas",ORE,361,222,61.5,"2,881",8.0,30,8.3,9,2.5,--,--,--,151.0,Passing
"Jordan La Secla",SJSU,391,231,59.1,"2,860",7.3,16,4.1,16,4.1,--,--,--,125.8,Passing
"Andy Dalton",TCU,316,209,66.1,"2,857",9.0,27,8.5,6,1.9,--,--,--,166.5,Passing
"Cam Newton",AUB,280,185,66.1,"2,854",10.2,30,10.7,7,2.5,--,--,--,182.0,Passing
"Kirk Cousins",MSU,338,226,66.9,"2,825",8.4,20,5.9,10,3.0,--,--,--,150.7,Passing
"Ryan Colburn",FRES,360,227,63.1,"2,817",7.8,23,6.4,9,2.5,--,--,--,144.9,Passing
"Marc Verica",UVA,396,233,58.8,"2,799",7.1,14,3.5,14,3.5,--,--,--,122.8,Passing
"Matt Barkley",USC,377,236,62.6,"2,791",7.4,26,6.9,12,3.2,--,--,--,141.2,Passing
"Jeff Tuel",WSU,366,219,59.8,"2,780",7.6,18,4.9,12,3.3,--,--,--,133.3,Passing
"Terrelle Pryor",OSU,323,210,65.0,"2,772",8.6,27,8.4,11,3.4,--,--,--,157.9,Passing
"Geno Smith",WVU,372,241,64.8,"2,763",7.4,24,6.5,7,1.9,--,--,--,144.7,Passing
"Trevor Vittatoe",UTEP,407,220,54.1,"2,756",6.8,22,5.4,13,3.2,--,--,--,122.4,Passing
"Garrett Gilbert",TEX,441,260,59.0,"2,744",6.2,10,2.3,17,3.9,--,--,--,111.0,Passing
"Tyrod Taylor",VT,315,188,59.7,"2,743",8.7,24,7.6,5,1.6,--,--,--,154.8,Passing
"Adam Weber",MINN,368,205,55.7,"2,679",7.3,20,5.4,9,2.4,--,--,--,129.9,Passing
"Pete Thomas",CSU,391,253,64.7,"2,662",6.8,11,2.8,13,3.3,--,--,--,124.5,Passing
"David Piland",HOU,345,201,58.3,"2,641",7.7,24,7.0,14,4.1,--,--,--,137.4,Passing
"Wesley Carroll",FIU,367,226,61.6,"2,623",7.1,16,4.4,14,3.8,--,--,--,128.4,Passing
"Dan Persa",NW,302,222,73.5,"2,581",8.5,15,5.0,4,1.3,--,--,--,159.0,Passing
"Tino Sunseri",PITT,346,223,64.5,"2,572",7.4,16,4.6,9,2.6,--,--,--,136.9,Passing
"Denard Robinson",MICH,291,182,62.5,"2,570",8.8,18,6.2,11,3.8,--,--,--,149.6,Passing
"Kolton Browning",ULM,378,234,61.9,"2,552",6.8,18,4.8,12,3.2,--,--,--,128.0,Passing
"Steven Threet",AZST,336,208,61.9,"2,534",7.5,18,5.4,16,4.8,--,--,--,133.4,Passing
"Chandler Harnish",NIU,292,189,64.7,"2,530",8.7,21,7.2,5,1.7,--,--,--,157.8,Passing
"Scott Tolzien",WISC,266,194,72.9,"2,459",9.2,16,6.0,6,2.3,--,--,--,165.9,Passing
"Jeff Van Camp",FAU,335,192,57.3,"2,459",7.3,17,5.1,13,3.9,--,--,--,128.0,Passing
"Danny O'Brien",MD,337,192,57.0,"2,438",7.2,22,6.5,8,2.4,--,--,--,134.5,Passing
"Zac Dysert",MIOH,343,222,64.7,"2,406",7.0,13,3.8,12,3.5,--,--,--,129.2,Passing
"Ryan Katz",ORST,355,213,60.0,"2,401",6.8,18,5.1,11,3.1,--,--,--,127.3,Passing
"Ryan Griffin",TULN,372,223,59.9,"2,371",6.4,14,3.8,8,2.2,--,--,--,121.6,Passing
"Brian Anderson",MRSH,384,218,56.8,"2,358",6.1,20,5.2,15,3.9,--,--,--,117.7,Passing
"Ryan Nassib",SYR,358,202,56.4,"2,334",6.5,19,5.3,8,2.2,--,--,--,124.2,Passing
"Jordan Wynn",UTAH,299,186,62.2,"2,334",7.8,17,5.7,10,3.3,--,--,--,139.9,Passing
"Jake Heaps",BYU,383,219,57.2,"2,316",6.0,15,3.9,9,2.3,--,--,--,116.2,Passing
"Jake Locker",WASH,332,184,55.4,"2,265",6.8,17,5.1,9,2.7,--,--,--,124.2,Passing
"Matt Schilz",BGSU,377,228,60.5,"2,223",5.9,8,2.1,14,3.7,--,--,--,109.6,Passing
"Kyle Parker",CLEM,341,196,57.5,"2,213",6.5,12,3.5,11,3.2,--,--,--,117.2,Passing
"Spencer Keith",KENT,364,215,59.1,"2,212",6.1,8,2.2,11,3.0,--,--,--,111.3,Passing
"Jeff Godfrey",UCF,238,159,66.8,"2,159",9.1,13,5.5,8,3.4,--,--,--,154.3,Passing
"Diondre Borel",USU,314,167,53.2,"2,108",6.7,8,2.5,13,4.1,--,--,--,109.7,Passing
"Ryan Williams",MEM,290,165,56.9,"2,075",7.2,13,4.5,10,3.4,--,--,--,124.9,Passing
"John Brantley",FLA,329,200,60.8,"2,061",6.3,9,2.7,10,3.0,--,--,--,116.4,Passing
"Carson Coffman",KSST,263,171,65.0,"2,060",7.8,14,5.3,7,2.7,--,--,--,143.1,Passing
"Christian Ponder",FSU,299,184,61.5,"2,044",6.8,20,6.7,8,2.7,--,--,--,135.7,Passing
"Jeremiah Masoli",MISS,296,167,56.4,"2,039",6.9,14,4.7,13,4.4,--,--,--,121.1,Passing
"Dayne Crist",ND,294,174,59.2,"2,033",6.9,15,5.1,7,2.4,--,--,--,129.3,Passing
"Jerrod Johnson",TAMU,279,158,56.6,"1,947",7.0,14,5.0,9,3.2,--,--,--,125.4,Passing
"Boo Jackson",OHIO,245,149,60.8,"1,897",7.7,18,7.3,17,6.9,--,--,--,136.2,Passing
"Tyler Bray",TENN,224,125,55.8,"1,849",8.3,18,8.0,10,4.5,--,--,--,142.7,Passing
"Chris Masson",ULL,280,148,52.9,"1,842",6.6,11,3.9,6,2.1,--,--,--,116.8,Passing
"Nathan Scheelhaase",ILL,264,155,58.7,"1,825",6.9,17,6.4,8,3.0,--,--,--,132.0,Passing
"Omar Clayton",UNLV,283,158,55.8,"1,818",6.4,13,4.6,9,3.2,--,--,--,118.6,Passing
"Jacory Harris",MIA,270,148,54.8,"1,793",6.6,14,5.2,15,5.6,--,--,--,116.6,Passing
"Chris Relf",MSST,220,129,58.6,"1,789",8.1,13,5.9,6,2.7,--,--,--,141.0,Passing
"Ross Jenkins",LT,274,172,62.8,"1,760",6.4,12,4.4,6,2.2,--,--,--,126.8,Passing
"Jerry Davis",BUFF,298,142,47.7,"1,753",5.9,16,5.4,16,5.4,--,--,--,104.0,Passing
"Patrick Nicely",AKR,336,166,49.4,"1,753",5.2,10,3.0,13,3.9,--,--,--,95.3,Passing
"Austen Arnaud",IAST,290,171,59.0,"1,703",5.9,13,4.5,10,3.4,--,--,--,116.2,Passing
"Austyn Carta-Samuels",WYO,252,154,61.1,"1,702",6.8,9,3.6,8,3.2,--,--,--,123.3,Passing
"B.J. Daniels",USF,245,143,58.4,"1,685",6.9,11,4.5,13,5.3,--,--,--,120.3,Passing
"Nick Fanuzzi",RICE,241,151,62.7,"1,681",7.0,11,4.6,9,3.7,--,--,--,128.8,Passing
"Kawaun Jakes",WKU,291,149,51.2,"1,680",5.8,10,3.4,6,2.1,--,--,--,106.9,Passing
"Ryan Tannehill",TAMU,234,152,65.0,"1,638",7.0,13,5.6,6,2.6,--,--,--,137.0,Passing
"Chas Dodd",RUT,223,123,55.2,"1,637",7.3,11,4.9,7,3.1,--,--,--,126.8,Passing
"Adam Froman",LOU,218,132,60.6,"1,633",7.5,11,5.0,4,1.8,--,--,--,136.5,Passing
"Alex Gillett",EMU,229,127,55.5,"1,633",7.1,13,5.7,13,5.7,--,--,--,122.7,Passing
"Taylor Martinez",NEB,196,116,59.2,"1,631",8.3,10,5.1,7,3.6,--,--,--,138.8,Passing
"Dwight Dasher",MTSU,251,145,57.8,"1,550",6.2,6,2.4,18,7.2,--,--,--,103.2,Passing
