Player,Team,Att,Cmp,Pct,Yds,YPA,TD,TD%,Int,Int%,Lg,Sack,Loss,Rate,"Stat Type"
"Bryant Moniz",HAW,555,361,65.0,"5,040",9.1,39,7.0,15,2.7,--,--,--,159.1,Passing
"Landry Jones",OKLA,617,405,65.6,"4,718",7.6,38,6.2,12,1.9,--,--,--,146.3,Passing
"Brandon Weeden",OKST,511,342,66.9,"4,277",8.4,34,6.7,13,2.5,--,--,--,154.1,Passing
"Dominique Davis",ECU,609,393,64.5,"3,967",6.5,37,6.1,16,2.6,--,--,--,134.0,Passing
"Ryan Mallett",ARK,411,266,64.7,"3,869",9.4,32,7.8,12,2.9,--,--,--,163.6,Passing
"Kellen Moore",BSU,383,273,71.3,"3,845",10.0,35,9.1,6,1.6,--,--,--,182.6,Passing
"Ryan Lindley",SDSU,421,243,57.7,"3,830",9.1,28,6.7,14,3.3,--,--,--,149.4,Passing
"Kyle Padron",SMU,508,302,59.4,"3,828",7.5,31,6.1,14,2.8,--,--,--,137.4,Passing
"Taylor Potts",TTU,551,369,67.0,"3,726",6.8,35,6.4,10,1.8,--,--,--,141.1,Passing
"Corey Robinson",TROY,505,321,63.6,"3,726",7.4,28,5.5,15,3.0,--,--,--,137.9,Passing
"G.J. Kinne",TULS,460,275,59.8,"3,650",7.9,31,6.7,10,2.2,--,--,--,144.3,Passing
"Russell Wilson",NCST,527,308,58.4,"3,563",6.8,28,5.3,14,2.7,--,--,--,127.5,Passing
"Robert Griffin III",BAY,454,304,67.0,"3,501",7.7,22,4.8,8,1.8,--,--,--,144.2,Passing
"T.J. Yates",UNC,422,282,66.8,"3,418",8.1,19,4.5,9,2.1,--,--,--,145.5,Passing
"Ryan Radcliff",CMU,466,282,60.5,"3,358",7.2,17,3.6,17,3.6,--,--,--,125.8,Passing
"Andrew Luck",STAN,372,263,70.7,"3,338",9.0,32,8.6,8,2.2,--,--,--,170.2,Passing
"Alex Carder",WMU,458,289,63.1,"3,334",7.3,30,6.6,12,2.6,--,--,--,140.6,Passing
"Nathan Enderle",IDHO,478,271,56.7,"3,314",6.9,22,4.6,16,3.3,--,--,--,123.4,Passing
"Ben Chappell",IND,483,302,62.5,"3,295",6.8,24,5.0,9,1.9,--,--,--,132.5,Passing
"Nick Foles",ARIZ,426,286,67.1,"3,191",7.5,20,4.7,10,2.3,--,--,--,140.9,Passing
"Blaine Gabbert",MIZZ,475,301,63.4,"3,186",6.7,16,3.4,9,1.9,--,--,--,127.0,Passing
"Mike Hartline",KY,405,268,66.2,"3,178",7.8,23,5.7,9,2.2,--,--,--,146.4,Passing
"Sean Renfree",DUKE,464,285,61.4,"3,131",6.7,14,3.0,17,3.7,--,--,--,120.7,Passing
"Austin Davis",USM,442,278,62.9,"3,103",7.0,20,4.5,6,1.4,--,--,--,134.1,Passing
"Stephen Garcia",SCAR,349,224,64.2,"3,059",8.8,20,5.7,14,4.0,--,--,--,148.7,Passing
"Aaron Murray",UGA,342,209,61.1,"3,049",8.9,24,7.0,8,2.3,--,--,--,154.5,Passing
"Colin Kaepernick",NEV,359,233,64.9,"3,022",8.4,21,5.8,8,2.2,--,--,--,150.5,Passing
"Ricky Stanzi",IOWA,345,221,64.1,"3,004",8.7,25,7.2,6,1.7,--,--,--,157.6,Passing
"Greg McElroy",ALA,313,222,70.9,"2,987",9.5,20,6.4,5,1.6,--,--,--,169.0,Passing
"Bryan Ellis",UAB,411,231,56.2,"2,940",7.2,25,6.1,12,2.9,--,--,--,130.5,Passing
